id vendedor ;Nombre ;Apellido ;Genero ;Telefono ;Estado Civil;Contrato ;Cod de Suc;Nombre suc;Tamano;Zona
38;Alberta;Crawford;femenino;042-3972-95;Casado;Indefenido ;10;Suc 10;B2C;Norte
39;Steven;Ellis;Masculino;352-3045-86;Soltera;Fijo ;14;Suc 14;B2B;Norte
40;Deanna;Martin;femenino;176-9855-96;Casado;Fijo ;13;Suc 13;B2C;Oriente
41;Nicholas;Hill;Masculino;910-7904-80;Soltera;Fijo ;15;Suc 15;B2B;Sur
42;Ted;Carroll;Masculino;299-6613-84;Soltera;Indefenido ;14;Suc 14;B2B;Norte
43;Sabrina;Harrison;femenino;202-3427-33;Casado;Indefenido ;11;Suc 11;B2C;Sur
44;Dominik;Ryan;Masculino;713-2604-08;Casado;Fijo ;12;Suc 12;B2B;Occidente
45;Caroline;Cole;femenino;919-0161-57;Casado;Indefenido ;11;Suc 11;B2C;Sur
46;Kelvin;Gray;Masculino;854-7558-00;Soltera;Indefenido ;10;Suc 10;B2C;Norte
47;Nicole;Harris;femenino;692-7238-58;Soltera;Indefenido ;12;Suc 12;B2B;Occidente
48;Melissa;Johnson;femenino;009-7141-19;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
49;Michelle;Stevens;femenino;366-1611-40;Soltera;Fijo ;11;Suc 11;B2C;Sur
50;Mary;Allen;femenino;399-6817-18;Soltera;Indefenido ;12;Suc 12;B2B;Occidente
51;Freddie;Baker;Masculino;276-7934-29;Soltera;Indefenido ;11;Suc 11;B2C;Sur
52;Grace;Morris;femenino;555-9559-99;Casado;Indefenido ;13;Suc 13;B2C;Oriente
53;Luke;Chapman;Masculino;482-8023-27;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
54;Derek;Mitchell;Masculino;715-1345-27;Soltera;Fijo ;15;Suc 15;B2B;Sur
55;Chloe;Andrews;femenino;734-6305-28;Soltera;Indefenido ;11;Suc 11;B2C;Sur
56;Robert;Sullivan;Masculino;429-8796-75;Soltera;Fijo ;11;Suc 11;B2C;Sur
57;James;Taylor;Masculino;695-4410-12;Soltera;Fijo ;14;Suc 14;B2B;Norte
58;Sarah;Baker;femenino;792-6363-71;Soltera;Fijo ;11;Suc 11;B2C;Sur
59;Alissa;Cooper;femenino;417-2632-63;Casado;Fijo ;11;Suc 11;B2C;Sur
60;Gianna;Stevens;femenino;170-5658-90;Casado;Fijo ;15;Suc 15;B2B;Sur
61;Vivian;Martin;femenino;646-1537-46;Casado;Indefenido ;11;Suc 11;B2C;Sur
62;Bruce;Tucker;Masculino;401-8567-91;Casado;Fijo ;11;Suc 11;B2C;Sur
63;Chester;Richardson;Masculino;586-7588-35;Casado;Indefenido ;10;Suc 10;B2C;Norte
64;Frederick;Perkins;Masculino;218-7499-31;Casado;Indefenido ;10;Suc 10;B2C;Norte
65;Lydia;Chapman;femenino;252-1933-55;Casado;Indefenido ;15;Suc 15;B2B;Sur
66;Edwin;Murphy;Masculino;317-9063-81;Soltera;Indefenido ;11;Suc 11;B2C;Sur
67;Maddie;Hawkins;femenino;404-1252-56;Soltera;Indefenido ;12;Suc 12;B2B;Occidente
68;Alford;Martin;Masculino;141-8853-09;Soltera;Indefenido ;12;Suc 12;B2B;Occidente
69;Kirsten;Brown;femenino;318-7444-18;Casado;Indefenido ;14;Suc 14;B2B;Norte
70;Amy;Morrison;femenino;412-2557-85;Casado;Fijo ;11;Suc 11;B2C;Sur
71;Justin;Adams;Masculino;002-4491-36;Soltera;Fijo ;14;Suc 14;B2B;Norte
72;Andrew;Scott;Masculino;459-7741-97;Casado;Fijo ;14;Suc 14;B2B;Norte
73;James;Payne;Masculino;584-0903-20;Soltera;Fijo ;12;Suc 12;B2B;Occidente
74;Lana;Wilson;femenino;866-7537-92;Soltera;Fijo ;13;Suc 13;B2C;Oriente
75;Robert;Stewart;Masculino;575-6533-44;Soltera;Fijo ;14;Suc 14;B2B;Norte
76;Adrianna;Stewart;femenino;254-2216-36;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
77;Leonardo;Kelly;Masculino;352-7076-17;Soltera;Fijo ;15;Suc 15;B2B;Sur
78;Aston;Payne;Masculino;572-0965-66;Soltera;Indefenido ;11;Suc 11;B2C;Sur
79;Catherine;Harrison;femenino;294-3887-42;Casado;Indefenido ;15;Suc 15;B2B;Sur
80;Myra;Holmes;femenino;277-8312-04;Casado;Fijo ;15;Suc 15;B2B;Sur
81;Adrianna;Reed;femenino;359-0183-62;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
82;Dominik;Reed;Masculino;500-0128-57;Casado;Indefenido ;12;Suc 12;B2B;Occidente
83;Jenna;Harris;femenino;591-9828-29;Casado;Indefenido ;11;Suc 11;B2C;Sur
84;Alina;Cunningham;femenino;703-4521-85;Soltera;Fijo ;11;Suc 11;B2C;Sur
85;Carina;Murray;femenino;852-3607-90;Casado;Indefenido ;11;Suc 11;B2C;Sur
86;Lana;Phillips;femenino;289-5783-66;Casado;Indefenido ;14;Suc 14;B2B;Norte
87;John;Ferguson;Masculino;900-4825-61;Casado;Fijo ;15;Suc 15;B2B;Sur
88;Sydney;Dixon;femenino;867-5683-53;Casado;Fijo ;13;Suc 13;B2C;Oriente
89;Kevin;Wilson;Masculino;536-5919-63;Casado;Fijo ;14;Suc 14;B2B;Norte
90;Dominik;Henderson;Masculino;125-3570-50;Soltera;Indefenido ;11;Suc 11;B2C;Sur
91;Leonardo;Bailey;Masculino;265-9749-74;Casado;Indefenido ;13;Suc 13;B2C;Oriente
92;Victoria;Payne;femenino;664-2312-50;Soltera;Fijo ;11;Suc 11;B2C;Sur
93;Chester;Owens;Masculino;909-7116-91;Soltera;Indefenido ;14;Suc 14;B2B;Norte
94;Kelvin;Turner;Masculino;764-3883-99;Casado;Fijo ;12;Suc 12;B2B;Occidente
95;Connie;Richards;femenino;462-3673-68;Casado;Indefenido ;13;Suc 13;B2C;Oriente
96;Freddie;Roberts;Masculino;305-3808-25;Soltera;Indefenido ;11;Suc 11;B2C;Sur
97;Ashton;Allen;Masculino;737-2088-74;Soltera;Indefenido ;11;Suc 11;B2C;Sur
98;Maya;Harrison;femenino;969-1561-33;Soltera;Indefenido ;13;Suc 13;B2C;Oriente
99;Alisa;Fowler;femenino;822-0344-85;Casado;Fijo ;12;Suc 12;B2B;Occidente
100;Melanie;Armstrong;femenino;948-0222-15;Soltera;Fijo ;12;Suc 12;B2B;Occidente
101;Ellia;Foster;femenino;543-7110-34;Soltera;Indefenido ;15;Suc 15;B2B;Sur
102;Antony;Holmes;Masculino;746-2259-00;Casado;Indefenido ;14;Suc 14;B2B;Norte
103;Martin;Scott;Masculino;969-0647-69;Soltera;Indefenido ;14;Suc 14;B2B;Norte
104;Edward;Crawford;Masculino;352-2076-49;Soltera;Fijo ;14;Suc 14;B2B;Norte
105;Stuart;Kelly;Masculino;924-5144-12;Casado;Fijo ;10;Suc 10;B2C;Norte
